RDConnect,,,,,,,,,,,,,,,,,,,,,,,
Name,Host institution,City,Country,ID Card,OrganizationID,,,,,,,,,,,,,,,,,,
RaDiCo-ACOStill - The French Adult and Childhood Onset Still Disease Cohort,Inserm UMR S 933 - RaDiCo / Hôpital Armand Trousseau,Paris,France,http://catalogue.rd-connect.eu/web/radico-acostill/reg_home,103471,,,,,,,,,,,,,,,,,,
RaDiCo-COBBALT - French national nohort on Bardet-Biedl and Alström syndromes,Inserm UMR S 933 - RaDiCo / Hôpital Armand Trousseau,Paris,France,http://catalogue.rd-connect.eu/web/radico-cobbalt/reg_home,103601,,,,,,,,,,,,,,,,,,
RaDiCo-COLPAC - French national cohort on Low Phospholipid-Associated Cholelithiasis syndrome,Inserm UMR S 933 - RaDiCo / Hôpital Armand Trousseau,Paris,0-,http://catalogue.rd-connect.eu/web/radico-colpac/reg_home,103728,,,,,,,,,,,,,,,,,,
RaDiCo-PCD - French national cohort on Primary Ciliary Dyskinesia,Inserm UMR S 933 - RaDiCo / Hôpital Armand Trousseau,Paris,France,http://catalogue.rd-connect.eu/web/radico-dcp/reg_home,103851,,,,,,,,,,,,,,,,,,
RaDiCo-ECYSCO - European Cystinosis Cohort,Inserm UMR S 933 - RaDiCo / Hôpital Armand Trousseau,Paris,France,http://catalogue.rd-connect.eu/web/radico-ecysco/reg_home,103978,,,,,,,,,,,,,,,,,,
RaDiCo-MARFAN - French national cohort on Marfan syndrome,Hôpital Bichat,Paris,France,http://catalogue.rd-connect.eu/web/radico-marfan/reg_home,104228,,,,,,,,,,,,,,,,,,
"RaDiCo-PP - French cohort for clinical, genetic and socio-economic study of Periodic Paralysis",Inserm UMR S 933 - RaDiCo / Hôpital Armand Trousseau,Paris,France,http://catalogue.rd-connect.eu/web/radico-pp/reg_home,104351,,,,,,,,,,,,,,,,,,
RaDiCo-PID - French national cohort on Idiopathic Interstitial Pneumonia: from infancy to elderly.,Inserm UMR S 933 - RaDiCo / Hôpital Armand Trousseau,Paris,France,http://catalogue.rd-connect.eu/web/radico-respi/reg_home,104446,,,,,,,,,,,,,,,,,,
RaDiCo-RETICO - French national Cohort on hereditary retinal dystrophies,Inserm UMR S 933 - RaDiCo / Hôpital Armand Trousseau,Paris,France,http://catalogue.rd-connect.eu/web/radico-retico/reg_home,104597,,,,,,,,,,,,,,,,,,
RaDiCo-SED-VASC - French national cohort on the vascular Ehlers-Danlos syndrome,Inserm UMR S 933 - RaDiCo / Hôpital Armand Trousseau,Paris,France,http://catalogue.rd-connect.eu/web/radico-sed-vasc/reg_home,104720,,,,,,,,,,,,,,,,,,
